tiempo [s],ALTURA [km]
0,0
1,-0.00027432
2,-0.00042672
3,-0.00048768
4,-0.00051816
5,-0.0004572
6,-0.00018288
7,0.00783336
8,0.042824399
9,0.103540557
10,0.190134234
11,0.30839663
12,0.455005425
13,0.62697358
14,0.816894454
15,1.025194767
16,1.25233172
17,1.491630192
18,1.746046744
19,2.013508736
20,2.289931847
21,2.573913998
22,2.856768389
23,3.1351727
24,3.405804611
25,3.669121323
26,3.922989234
27,4.165549067
28,4.395398739
29,4.611166652
30,4.834615525
31,5.00585216
32,5.352592629
33,5.508071104
34,5.653125419
35,5.787054535
36,5.908974531
37,6.019769327
38,6.119804684
39,6.210177881
40,6.289974519
41,6.359072677
42,6.418081955
43,6.467581473
44,6.506595872
45,6.55801563
46,6.56871411
47,6.56895795
48,6.55999683
49,6.541038271
50,6.511960352
51,6.473494593
52,6.425884834
53,6.368795796
54,6.302227478
55,6.226240841
56,6.046866047
57,5.94408749
58,5.889284452
59,5.583996781
60,5.446836786
61,5.30111191
62,5.146852635
63,4.98448568
64,4.813919606
65,4.449500738
66,4.256897624
67,4.05713171
68,3.850355397
69,3.417356531
70,3.191469258
71,2.960308945
72,2.480767121
73,2.233818169
74,1.981900977
75,1.725381305
76,1.465234513
77,1.201795882
78,0.93549213
79,0.666231819
80,0.394106387
