type,counter,time,altitude,pressure,temperature,ax,ay,az,rx,ry,rz,totalAcceleration,rssi
1,73529.00,3676503.00,4357.80,58825.40,48.10,-0.05,-1.68,1.32,249.99,20.65,-21.80,2.14,-128
1,73533.00,3676703.00,4393.51,58549.80,48.10,-1.15,-1.96,1.46,249.99,27.68,-28.52,2.71,-128
1,73537.00,3676903.00,4432.55,58249.60,48.10,-2.02,-0.57,-1.05,249.99,11.63,-44.55,2.34,-128
1,73541.00,3677103.00,4464.38,58005.80,48.10,-2.32,1.81,0.49,249.99,-26.48,-20.20,2.98,-128
1,73545.00,3677303.00,4571.48,57191.60,48.10,-2.38,-1.69,-0.67,249.99,-78.66,27.67,3.00,-128
1,73549.00,3677503.00,4689.89,56302.20,48.10,-0.72,2.02,-1.32,249.99,-44.01,59.10,2.52,-114
1,73553.00,3677703.00,4709.31,56157.40,48.10,-1.63,-1.68,-1.29,249.99,0.89,62.76,2.67,-128
1,73557.00,3677903.00,4743.48,55903.40,48.10,-1.53,0.01,-0.86,249.99,25.62,38.76,1.76,-128
1,73561.00,3678103.00,4781.80,55619.60,48.10,-1.74,1.29,-0.48,249.99,2.03,-1.98,2.22,-128
1,73564.00,3678253.00,4816.75,55361.80,48.10,-2.23,1.07,0.16,249.99,-12.83,-2.08,2.48,-128
1,73568.00,3678453.00,4875.45,54931.00,48.10,-1.92,-0.12,1.34,249.99,-28.14,2.50,2.34,-128
1,73572.00,3678653.00,4936.86,54483.20,48.10,-2.32,-0.51,0.62,249.99,-38.89,3.88,2.46,-128
1,73576.00,3678853.00,5003.28,54002.20,48.10,-3.65,-0.97,-0.78,249.99,-45.32,3.60,3.86,-116
1,73580.00,3679053.00,5058.54,53604.60,48.10,-2.80,-1.37,0.11,249.99,-47.96,4.48,3.11,-128
1,73584.00,3679253.00,5113.27,53213.20,48.10,-3.31,-0.51,1.53,249.99,-53.10,8.32,3.68,-112
1,73588.00,3679453.00,5168.64,52819.60,48.10,-3.32,-1.06,0.93,249.99,-58.80,12.29,3.61,-128
1,73592.00,3679653.00,5223.46,52432.20,48.10,-2.75,-1.37,-1.40,249.99,-52.45,20.62,3.38,-114
1,73596.00,3679853.00,5276.56,52059.20,48.10,-2.40,-0.44,0.07,249.99,-38.35,28.53,2.44,-114
1,73600.00,3680053.00,5321.92,51742.20,48.10,-2.01,0.51,-0.51,249.99,-20.84,32.10,2.14,-128
1,73604.00,3680253.00,5342.38,51599.80,48.10,-2.14,-0.61,-0.47,249.99,-12.21,35.62,2.28,-128
1,73608.00,3680453.00,5374.12,51379.40,48.10,-1.76,-0.20,-0.01,249.99,-1.06,28.17,1.77,-128
1,73612.00,3680653.00,5414.78,51098.20,48.10,-2.04,-0.54,0.19,249.99,5.68,21.13,2.11,-128
1,73615.00,3680803.00,5446.69,50878.40,48.10,-2.36,-0.26,0.75,249.99,3.37,11.11,2.49,-128
1,73621.00,3681103.00,5503.06,50492.00,48.10,-2.09,0.36,0.19,249.99,-6.42,7.90,2.13,-128
1,73624.00,3681253.00,5533.26,50286.00,48.10,-1.89,0.25,0.71,249.99,-11.41,8.73,2.04,-128
1,73627.00,3681403.00,5568.65,50045.40,48.20,-2.13,0.06,0.66,249.99,-17.06,11.41,2.23,-128
1,73631.00,3681603.00,5620.06,49697.60,48.20,-2.12,0.02,0.48,249.99,-19.76,14.77,2.17,-128
1,73635.00,3681803.00,5673.07,49341.00,48.20,-2.02,0.20,0.26,249.99,-16.43,19.86,2.05,-128
1,73639.00,3682003.00,5720.34,49024.80,48.20,-2.23,0.06,0.36,249.99,-11.46,20.48,2.26,-128
1,73643.00,3682203.00,5765.56,48723.80,48.20,-1.80,0.11,0.01,249.99,-8.79,21.46,1.81,-114
1,73646.00,3682353.00,5793.77,48536.80,48.20,-1.75,-0.11,0.30,249.99,-6.00,22.06,1.77,-128
1,73650.00,3682553.00,5826.86,48318.20,48.20,-2.05,-0.20,1.42,249.99,-3.96,19.75,2.51,-128
1,73654.00,3682753.00,5851.40,48156.60,48.20,-1.66,-0.29,0.69,249.99,-0.08,17.60,1.82,-128
1,73658.00,3682953.00,5880.58,47965.00,48.20,-1.87,0.01,0.44,249.99,-1.83,12.18,1.92,-128
1,73661.00,3683103.00,5905.51,47801.80,48.20,-1.58,-0.04,0.96,249.99,-6.58,11.60,1.85,-128
1,73665.00,3683303.00,5941.19,47569.00,48.20,-1.48,0.37,0.86,249.99,-9.74,14.44,1.75,-128
1,73668.00,3683453.00,5970.85,47376.20,48.20,-1.56,0.04,0.80,249.99,-10.22,14.37,1.75,-128
1,73672.00,3683653.00,6013.26,47101.60,48.20,-1.53,0.02,0.83,249.99,-10.78,15.93,1.74,-128
1,73676.00,3683853.00,6053.76,46840.60,48.20,-1.49,-0.02,0.46,249.99,-10.13,17.94,1.57,-128
1,73680.00,3684053.00,6093.40,46586.20,48.20,-1.42,0.11,0.55,249.99,-6.55,21.11,1.53,-128
