type,time,cellADC1,cellADC2,pressureADC1,pressureADC2,kgf1,kgf2,mpa1,mpa2,fov,vov,pov,qd,abort,mov,ign1,ign2,rssi
0,98995.00,8389974.00,8928238.00,99.00,100.00,-3.39,20.40,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,99197.00,8389917.00,8928177.00,100.00,100.00,-3.40,20.40,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,99398.00,8390005.00,8928057.00,99.00,100.00,-3.38,20.39,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,99600.00,8390006.00,8928278.00,100.00,100.00,-3.38,20.40,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,99802.00,8389807.00,8928018.00,99.00,101.00,-3.42,20.39,-0.04,-0.02,0,0,0,0,0,0,0,0,-128
0,100004.00,8389879.00,8928005.00,100.00,100.00,-3.41,20.39,-0.03,-0.03,0,0,0,0,0,0,0,0,-111
0,100205.00,8389837.00,8927973.00,100.00,100.00,-3.42,20.39,-0.03,-0.03,0,0,0,0,0,0,0,0,-112
0,100407.00,8389788.00,8928408.00,100.00,99.00,-3.43,20.41,-0.03,-0.04,0,0,0,0,0,0,0,0,-128
0,100609.00,8389833.00,8927900.00,99.00,100.00,-3.42,20.39,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,100811.00,8389991.00,8928406.00,99.00,100.00,-3.38,20.41,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,101012.00,8389813.00,8928180.00,99.00,100.00,-3.42,20.40,-0.04,-0.03,0,0,0,0,0,0,0,0,-111
0,101214.00,8389814.00,8928245.00,100.00,100.00,-3.42,20.40,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,101416.00,8389879.00,8928285.00,99.00,100.00,-3.41,20.40,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,101618.00,8389846.00,8927991.00,100.00,100.00,-3.41,20.39,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,101819.00,8389881.00,8928225.00,100.00,100.00,-3.41,20.40,-0.03,-0.03,0,0,0,0,0,0,0,0,-114
0,102021.00,8389838.00,8928500.00,100.00,100.00,-3.42,20.41,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,102223.00,8389923.00,8928236.00,100.00,100.00,-3.40,20.40,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,102425.00,8389949.00,8928162.00,100.00,100.00,-3.39,20.40,-0.03,-0.03,0,0,0,0,0,0,0,0,-129
0,102626.00,8389962.00,8928168.00,99.00,100.00,-3.39,20.40,-0.04,-0.03,0,0,0,0,0,0,0,0,-111
0,102828.00,8389923.00,8928445.00,99.00,100.00,-3.40,20.41,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,103030.00,8389848.00,8928281.00,100.00,100.00,-3.41,20.40,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,103232.00,8389921.00,8928173.00,99.00,100.00,-3.40,20.40,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,103433.00,8389753.00,8927909.00,99.00,100.00,-3.44,20.39,-0.04,-0.03,0,0,0,0,0,0,0,0,-110
0,103635.00,8389777.00,8928247.00,100.00,100.00,-3.43,20.40,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,103837.00,8389880.00,8928291.00,99.00,100.00,-3.41,20.40,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,104039.00,8389801.00,8928501.00,100.00,100.00,-3.42,20.41,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,104241.00,8389751.00,8928305.00,99.00,100.00,-3.44,20.40,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,104442.00,8389769.00,8927910.00,99.00,100.00,-3.43,20.39,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,104644.00,8389832.00,8928321.00,99.00,100.00,-3.42,20.40,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,104846.00,8389936.00,8928271.00,100.00,100.00,-3.39,20.40,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,105048.00,8389712.00,8928180.00,100.00,100.00,-3.44,20.40,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,105249.00,8389871.00,8928487.00,100.00,100.00,-3.41,20.41,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,105451.00,8389822.00,8928417.00,99.00,100.00,-3.42,20.41,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,105653.00,8389810.00,8928449.00,99.00,100.00,-3.42,20.41,-0.04,-0.03,0,0,0,0,0,0,0,0,-129
0,105855.00,8389830.00,8928253.00,99.00,100.00,-3.42,20.40,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,106056.00,8389932.00,8928378.00,99.00,100.00,-3.40,20.41,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,106258.00,8389916.00,8928107.00,100.00,100.00,-3.40,20.39,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,106460.00,8389809.00,8927942.00,100.00,100.00,-3.42,20.39,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,106662.00,8389727.00,8928311.00,99.00,100.00,-3.44,20.40,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,106863.00,8389716.00,8927945.00,99.00,99.00,-3.44,20.39,-0.04,-0.04,0,0,0,0,0,0,0,0,-128
0,107065.00,8389861.00,8928130.00,99.00,100.00,-3.41,20.40,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,107267.00,8389870.00,8928058.00,100.00,100.00,-3.41,20.39,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,107469.00,8389860.00,8928141.00,99.00,100.00,-3.41,20.40,-0.04,-0.03,0,0,0,0,0,0,0,0,-111
0,107670.00,8389856.00,8928157.00,99.00,100.00,-3.41,20.40,-0.04,-0.03,0,0,0,0,0,0,0,0,-109
0,107872.00,8389945.00,8928085.00,100.00,100.00,-3.39,20.39,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,108074.00,8389826.00,8927883.00,100.00,101.00,-3.42,20.39,-0.03,-0.02,0,0,0,0,0,0,0,0,-108
0,108276.00,8389862.00,8927954.00,99.00,100.00,-3.41,20.39,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,108477.00,8389762.00,8928111.00,100.00,101.00,-3.43,20.39,-0.03,-0.02,0,0,0,0,0,0,0,0,-128
0,108679.00,8389878.00,8927937.00,99.00,100.00,-3.41,20.39,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,108881.00,8389763.00,8927996.00,100.00,100.00,-3.43,20.39,-0.03,-0.03,0,0,0,0,0,0,0,0,-108
0,109083.00,8389781.00,8927977.00,99.00,100.00,-3.43,20.39,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,109285.00,8389939.00,8928124.00,99.00,100.00,-3.39,20.40,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,109486.00,8389915.00,8928143.00,100.00,100.00,-3.40,20.40,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,109688.00,8389843.00,8928006.00,99.00,100.00,-3.42,20.39,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,109890.00,8389764.00,8928229.00,100.00,100.00,-3.43,20.40,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,110092.00,8389803.00,8928242.00,100.00,100.00,-3.42,20.40,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,110293.00,8389936.00,8927932.00,100.00,100.00,-3.39,20.39,-0.03,-0.03,0,0,0,0,0,0,0,0,-111
0,110495.00,8389829.00,8928204.00,99.00,100.00,-3.42,20.40,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,110697.00,8389763.00,8927917.00,99.00,100.00,-3.43,20.39,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,111101.00,8389808.00,8927834.00,99.00,100.00,-3.42,20.38,-0.04,-0.03,0,0,0,0,0,0,0,0,-106
0,111302.00,8389863.00,8927843.00,100.00,100.00,-3.41,20.38,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,111504.00,8389796.00,8928055.00,99.00,100.00,-3.43,20.39,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,111706.00,8389604.00,8927488.00,100.00,101.00,-3.47,20.37,-0.03,-0.02,0,0,0,0,0,0,0,0,-128
0,111908.00,8389706.00,8927879.00,100.00,100.00,-3.45,20.39,-0.03,-0.03,0,0,0,0,0,0,0,0,-111
0,112109.00,8389712.00,8928043.00,99.00,100.00,-3.44,20.39,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,112311.00,8389813.00,8927793.00,99.00,100.00,-3.42,20.38,-0.04,-0.03,0,0,0,0,0,0,0,0,-110
0,112513.00,8389790.00,8927832.00,99.00,100.00,-3.43,20.38,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,112715.00,8389811.00,8927739.00,100.00,100.00,-3.42,20.38,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,112917.00,8389808.00,8927800.00,100.00,100.00,-3.42,20.38,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,113118.00,8389715.00,8927704.00,100.00,100.00,-3.44,20.38,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,113320.00,8389733.00,8927771.00,100.00,100.00,-3.44,20.38,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,113522.00,8389789.00,8927705.00,99.00,101.00,-3.43,20.38,-0.04,-0.02,0,0,0,0,0,0,0,0,-128
0,113724.00,8389782.00,8927519.00,99.00,100.00,-3.43,20.37,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,113925.00,8389724.00,8927783.00,100.00,100.00,-3.44,20.38,-0.03,-0.03,0,0,0,0,0,0,0,0,-108
0,114127.00,8389686.00,8927603.00,100.00,100.00,-3.45,20.37,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,114329.00,8389813.00,8928165.00,99.00,101.00,-3.42,20.40,-0.04,-0.02,0,0,0,0,0,0,0,0,-128
0,114531.00,8389725.00,8927698.00,100.00,100.00,-3.44,20.38,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,114732.00,8389805.00,8927765.00,100.00,100.00,-3.42,20.38,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,114934.00,8389780.00,8927700.00,100.00,100.00,-3.43,20.38,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,115136.00,8389728.00,8927970.00,100.00,100.00,-3.44,20.39,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,115338.00,8389734.00,8927968.00,99.00,100.00,-3.44,20.39,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,115540.00,8389848.00,8927934.00,99.00,100.00,-3.41,20.39,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,115741.00,8389883.00,8927971.00,99.00,100.00,-3.41,20.39,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,115943.00,8389683.00,8927654.00,99.00,100.00,-3.45,20.38,-0.04,-0.03,0,0,0,0,0,0,0,0,-108
0,116145.00,8389856.00,8927849.00,99.00,100.00,-3.41,20.38,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,116347.00,8389912.00,8927476.00,99.00,100.00,-3.40,20.37,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,116548.00,8389710.00,8927702.00,100.00,100.00,-3.45,20.38,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,116750.00,8389681.00,8927497.00,99.00,101.00,-3.45,20.37,-0.04,-0.02,0,0,0,0,0,0,0,0,-106
0,118163.00,8389764.00,8927744.00,99.00,100.00,-3.43,20.38,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,118364.00,8389784.00,8927664.00,100.00,100.00,-3.43,20.38,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,118566.00,8389721.00,8927548.00,99.00,100.00,-3.44,20.37,-0.04,-0.03,0,0,0,0,0,0,0,0,-109
0,119575.00,8389793.00,8927532.00,99.00,101.00,-3.43,20.37,-0.04,-0.02,0,0,0,0,0,0,0,0,-128
0,119777.00,8389784.00,8927362.00,98.00,100.00,-3.43,20.36,-0.06,-0.03,0,0,0,0,0,0,0,0,-128
0,120181.00,8389709.00,8927688.00,99.00,100.00,-3.45,20.38,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,123207.00,8389668.00,8927330.00,100.00,100.00,-3.45,20.36,-0.03,-0.03,0,0,0,0,0,0,0,0,-109
0,123409.00,8389673.00,8927530.00,99.00,100.00,-3.45,20.37,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,123611.00,8389546.00,8927514.00,99.00,100.00,-3.48,20.37,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,123813.00,8389697.00,8927294.00,99.00,100.00,-3.45,20.36,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,124015.00,8389716.00,8927290.00,99.00,100.00,-3.44,20.36,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,124216.00,8389775.00,8927426.00,99.00,101.00,-3.43,20.37,-0.04,-0.02,0,0,0,0,0,0,0,0,-110
0,124418.00,8389701.00,8927717.00,100.00,101.00,-3.45,20.38,-0.03,-0.02,0,0,0,0,0,0,0,0,-128
0,124620.00,8389811.00,8927544.00,100.00,100.00,-3.42,20.37,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,124822.00,8389678.00,8927481.00,100.00,99.00,-3.45,20.37,-0.03,-0.04,0,0,0,0,0,0,0,0,-128
0,125024.00,8389805.00,8927438.00,100.00,101.00,-3.42,20.37,-0.03,-0.02,0,0,0,0,0,0,0,0,-128
0,125225.00,8389734.00,8927494.00,99.00,100.00,-3.44,20.37,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,125427.00,8389673.00,8927359.00,100.00,100.00,-3.45,20.36,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,125629.00,8389717.00,8927249.00,100.00,101.00,-3.44,20.36,-0.03,-0.02,0,0,0,0,0,0,0,0,-128
0,125831.00,8389780.00,8927313.00,100.00,101.00,-3.43,20.36,-0.03,-0.02,0,0,0,0,0,0,0,0,-128
0,126033.00,8389671.00,8927449.00,99.00,99.00,-3.45,20.37,-0.04,-0.04,0,0,0,0,0,0,0,0,-128
0,126234.00,8389711.00,8927410.00,100.00,100.00,-3.45,20.37,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,126436.00,8389665.00,8927470.00,100.00,100.00,-3.46,20.37,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,126638.00,8389610.00,8927384.00,100.00,100.00,-3.47,20.37,-0.03,-0.03,0,0,0,0,0,0,0,0,-116
0,126840.00,8389693.00,8927151.00,100.00,100.00,-3.45,20.36,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,127042.00,8389676.00,8927150.00,100.00,100.00,-3.45,20.36,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,127243.00,8389768.00,8926927.00,99.00,100.00,-3.43,20.35,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,127647.00,8389694.00,8927127.00,100.00,100.00,-3.45,20.36,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,127849.00,8389708.00,8927359.00,100.00,100.00,-3.45,20.36,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,128051.00,8389666.00,8927159.00,99.00,100.00,-3.46,20.36,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,128252.00,8389603.00,8927227.00,100.00,100.00,-3.47,20.36,-0.03,-0.03,0,0,0,0,0,0,0,0,-128
0,128454.00,8389672.00,8927140.00,99.00,100.00,-3.45,20.36,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
0,128656.00,8389562.00,8927335.00,99.00,100.00,-3.48,20.36,-0.04,-0.03,0,0,0,0,0,0,0,0,-128
