TIME-ASYB,ALTITUD-ASYB,TIME-FTW,ALTITUD-FTW,HORZV,VERTV,HEAD,ax,ay,az,Rango (m)
3676503,3219.67,20:25.5,3.508248,0,0,-83,-0.05,-1.68,1.32,531.135336
3676703,3255.38,20:26.4,3.2180784,0,0,-95,-1.15,-1.96,1.46,531.126192
3676903,3294.42,20:27.4,3.0562296,0,0,180,-2.02,-0.57,-1.05,531.107904
3677103,3326.25,20:28.4,3.0102048,0,0,-60,-2.32,1.81,0.49,531.071328
3677303,3433.35,20:29.5,2.9730192,0,0,-150,-2.38,-1.69,-0.67,531.025608
3677503,3551.76,20:30.4,3.028188,0,0,-104,-0.72,2.02,-1.32,530.995128
3677703,3571.18,20:31.4,3.30708,0,0,78,-1.63,-1.68,-1.29,530.949408
3677903,3605.35,20:32.4,11.3230152,3,68,36,-1.53,0.01,-0.86,529.94052
3678103,3643.67,20:33.4,46.3161888,5,156,-72,-1.74,1.29,-0.48,530.163024
3678253,3678.62,20:34.6,107.0500272,43,237,-133,-2.23,1.07,0.16,525.027144
3678453,3737.32,20:35.4,193.6162752,53,327,-150,-1.92,-0.12,1.34,517.986264
3678653,3798.73,20:36.4,311.8951344,69,431,-141,-2.32,-0.51,0.62,509.10744
3678853,3865.15,20:37.4,458.4960096,95,519,-137,-3.65,-0.97,-0.78,497.02212
3679053,3920.41,20:38.4,630.4632552,113,587,-139,-2.8,-1.37,0.11,485.458008
3679253,3975.14,20:39.4,820.4030328,134,642,-141,-3.31,-0.51,1.53,469.562688
3679453,4030.51,20:40.4,1028.680188,150,704,-139,-3.32,-1.06,0.93,460.15656
3679653,4085.33,20:41.5,1255.842142,169,762,-141,-2.75,-1.37,-1.4,451.158864
3679853,4138.43,20:42.4,1495.137269,183,801,-140,-2.4,-0.44,0.07,448.540632
3680053,4183.79,20:43.4,1749.555353,206,851,-139,-2.01,0.51,-0.51,451.917816
