TRACKER,DATE,TIME,GS Lat,GS Lon,GS Alt asl,TRACKER Lat,TRACKER Lon,TRACKER Alt asl,FIX,HORZV,VERTV,HEAD,FLAGS,#TOT,>40,>32,>24,RSSI Down,RSSI Up,Horizontal range (ft),Alt AGL (ft),Total range (ft),LoRa Max Range (kft),LoRa Success Rate,BATT,GS_batt_v,Down Sent,Down Rcvd,Found Sent,Up Sent,Up Rccvd,Found rocket ID,Found rocket lat,Found rocket lon,Found rocket altitude,Found rocket fix,Found rocket batt_v,Found RSSI,GS_ASL_offset
GPS_GS0469,22/06/2024,51:03.4,32.94743,-106.91011,4576,32.94753,-106.91019,4610,3,0,0,101,0x01,23,0,1,13,-58,-65,44.39,27.528,55.903,176.712,100%,3.705,3.837,7174,9,0,10,0,,0,0,0,0,0,-50,6.5
GPS_GS0469,22/06/2024,51:04.4,32.94743,-106.91011,4576,32.94756,-106.91019,4610.2,3,0,0,137,0x01,23,0,1,13,-61,-67,52.43,27.771,62.611,147.765,100%,3.711,3.849,7175,10,0,11,0,,0,0,0,0,0,-50,6.5
GPS_GS0469,22/06/2024,51:05.4,32.94743,-106.91011,4576,32.94756,-106.91019,4610.5,3,0,0,78,0x01,23,0,1,13,-57,-68,52.33,28.076,62.697,233.758,100%,3.711,3.852,7176,11,0,12,0,,0,0,0,0,0,-50,6.5
GPS_GS0469,22/06/2024,51:06.4,32.94743,-106.91011,4576,32.94756,-106.91019,4610.5,3,0,0,-60,0x01,23,0,1,13,-54,-65,52.25,28.092,62.637,329.67,100%,3.711,3.849,7177,12,0,13,0,,0,0,0,0,0,-50,6.5
GPS_GS0469,22/06/2024,51:07.4,32.94743,-106.91011,4576,32.94756,-106.91019,4610.6,3,0,0,8,0x01,23,0,0,15,-68,-65,52.19,28.165,62.632,65.709,100%,3.711,3.849,7178,13,0,14,0,,0,0,0,0,0,-50,6.5
GPS_GS0469,22/06/2024,51:08.4,32.94743,-106.91011,4576,32.94756,-106.91019,4610.4,3,0,0,159,0x01,22,0,1,14,-68,-80,52.14,28.003,62.497,65.64,100%,3.71,3.847,7179,14,0,15,0,,0,0,0,0,0,-50,6.5
GPS_GS0469,22/06/2024,51:09.4,32.94743,-106.91011,4576,32.94756,-106.91019,4610.2,3,0,0,55,0x01,21,0,0,15,-54,-75,52.1,27.731,62.313,328.721,100%,3.71,3.85,7180,15,0,16,0,,0,0,0,0,0,-50,6.5
GPS_GS0469,22/06/2024,51:10.4,32.94743,-106.91011,4576,32.94756,-106.91019,4610.1,3,0,0,165,0x01,23,0,1,15,-55,-63,52.04,27.643,62.219,292.668,100%,3.71,3.848,7181,16,0,17,0,,0,0,0,0,0,-50,6.5
GPS_GS0469,22/06/2024,51:11.4,32.94743,-106.91011,4576,32.94756,-106.91019,4610,3,0,0,-67,0x01,23,0,1,15,-55,-64,51.98,27.6,62.14,292.289,100%,3.71,3.849,7182,17,0,18,0,,0,0,0,0,0,-50,6.5
GPS_GS0469,22/06/2024,51:12.4,32.94743,-106.91011,4576,32.94756,-106.91019,4609.8,3,0,0,16,0x01,22,0,1,14,-49,-64,51.95,27.321,61.965,582.891,100%,3.711,3.848,7183,18,0,19,0,,0,0,0,0,0,-50,6.5
