time,thrust
0,0
0.001,0
0.002,47.867317
0.003,208.91473
0.004,365.87758
0.005,518.60142
0.006,666.9864
0.007,811.00601
0.008,950.73973
0.009,1086.2308
0.01,1217.5218
0.011,1344.7234
0.012,1467.9247
0.013,1587.2572
0.014,1702.7827
0.015,1814.5891
0.016,1922.7748
0.017,2027.4384
0.018,2128.6783
0.019,2226.592
0.02,2321.276
0.021,2412.842
0.022,2501.3901
0.023,2586.9856
0.024,2669.7183
0.025,2749.6763
0.026,2826.9456
0.027,2901.6102
0.028,2973.7521
0.029,3043.4513
0.03,3110.7857
0.031,3175.8311
0.032,3238.6613
0.033,3299.238
0.034,3357.731
0.035,3414.2064
0.036,3468.7305
0.037,3521.368
0.038,3572.1814
0.039,3621.2316
0.04,3668.5775
0.041,3714.2763
0.042,3758.3834
0.043,3800.9527
0.044,3842.0361
0.045,3881.6842
0.046,3919.9457
0.047,3956.868
0.048,3992.4969
0.049,4026.8768
0.05,4060.0505
0.051,4092.0595
0.052,4122.944
0.053,4152.7497
0.054,4181.5124
0.055,4209.2626
0.056,4236.0355
0.057,4261.865
0.058,4286.784
0.059,4310.8243
0.06,4334.0165
0.061,4356.3902
0.062,4377.9742
0.063,4398.796
0.064,4418.8825
0.065,4438.2593
0.066,4456.9515
0.067,4474.983
0.068,4492.3772
0.069,4509.1564
0.07,4525.3424
0.071,4540.956
0.072,4556.0174
0.073,4570.5461
0.074,4584.5609
0.075,4598.0799
0.076,4611.1206
0.077,4623.7
0.078,4635.8343
0.079,4647.5392
0.08,4658.83
0.081,4669.7212
0.082,4680.227
0.083,4690.3611
0.084,4700.1365
0.085,4709.5659
0.086,4718.6616
0.087,4727.4353
0.088,4735.8985
0.089,4744.0621
0.09,4751.9367
0.091,4759.5324
0.092,4766.8592
0.093,4773.9266
0.094,4780.7436
0.095,4787.3192
0.096,4793.6618
0.097,4799.7797
0.098,4805.6807
0.099,4811.3725
0.1,4816.8626
0.101,4822.1579
0.102,4827.2653
0.103,4832.1915
0.104,4836.9428
0.105,4841.5253
0.106,4845.9451
0.107,4850.2077
0.108,4854.3187
0.109,4858.2834
0.11,4862.107
0.111,4865.7944
0.112,4869.3503
0.113,4872.7793
0.114,4876.0859
0.115,4879.2744
0.116,4882.3489
0.117,4885.3133
0.118,4888.1715
0.119,4890.9271
0.12,4893.5839
0.121,4896.1451
0.122,4898.6141
0.123,4900.9942
0.124,4903.2883
0.125,4905.4996
0.126,4907.6307
0.127,4909.6846
0.128,4911.6639
0.129,4913.5712
0.13,4915.409
0.131,4917.1796
0.132,4918.8854
0.133,4920.5285
0.134,4922.1113
0.135,4923.6334
0.136,4925.0985
0.137,4926.509
0.138,4927.8668
0.139,4929.1737
0.14,4930.4316
0.141,4931.642
0.142,4932.8066
0.143,4933.9271
0.144,4935.0049
0.145,4936.0415
0.146,4937.0382
0.147,4937.9966
0.148,4938.9179
0.149,4939.8033
0.15,4940.6542
0.151,4941.4716
0.152,4942.2568
0.153,4943.0108
0.154,4943.7347
0.155,4944.4296
0.156,4945.0963
0.157,4945.7359
0.158,4946.3494
0.159,4946.9375
0.16,4947.5011
0.161,4948.0412
0.162,4948.5584
0.163,4949.0536
0.164,4949.5275
0.165,4949.9807
0.166,4950.4141
0.167,4950.8283
0.168,4951.224
0.169,4951.6016
0.17,4951.962
0.171,4952.3056
0.172,4952.633
0.173,4952.9447
0.174,4953.2413
0.175,4953.5233
0.176,4953.7912
0.177,4954.0454
0.178,4954.2865
0.179,4954.5147
0.18,4954.7307
0.181,4954.9347
0.182,4955.1271
0.183,4955.3085
0.184,4955.479
0.185,4955.6392
0.186,4955.7892
0.187,4955.9296
0.188,4956.0605
0.189,4956.1823
0.19,4956.2953
0.191,4956.3998
0.192,4956.496
0.193,4956.5843
0.194,4956.6649
0.195,4956.7381
0.196,4956.804
0.197,4956.863
0.198,4956.9152
0.199,4956.9609
0.2,4957.0003
0.201,4957.0336
0.202,4957.061
0.203,4957.0827
0.204,4957.0988
0.205,4957.1096
0.206,4957.1153
0.207,4957.115
0.208,4957.1094
0.209,4957.099
0.21,4957.0838
0.211,4957.0642
0.212,4957.0402
0.213,4957.0119
0.214,4956.9795
0.215,4956.9431
0.216,4956.9029
0.217,4956.8589
0.218,4956.8113
0.219,4956.7602
0.22,4956.7058
0.221,4956.648
0.222,4956.5871
0.223,4956.5231
0.224,4956.4561
0.225,4956.3863
0.226,4956.3136
0.227,4956.2383
0.228,4956.1603
0.229,4956.0798
0.23,4955.9968
0.231,4955.9114
0.232,4955.8238
0.233,4955.7339
0.234,4955.6418
0.235,4955.5477
0.236,4955.4515
0.237,4955.3534
0.238,4955.2533
0.239,4955.1514
0.24,4955.0477
0.241,4954.9423
0.242,4954.8352
0.243,4954.7264
0.244,4954.6161
0.245,4954.5043
0.246,4954.391
0.247,4954.2762
0.248,4954.16
0.249,4954.0425
0.25,4953.9237
0.251,4953.8037
0.252,4953.6824
0.253,4953.5599
0.254,4953.4362
0.255,4953.3114
0.256,4953.1856
0.257,4953.0587
0.258,4952.9308
0.259,4952.8018
0.26,4952.672
0.261,4952.5412
0.262,4952.4095
0.263,4952.2769
0.264,4952.1435
0.265,4952.0092
0.266,4951.8742
0.267,4951.7383
0.268,4951.6018
0.269,4951.4645
0.27,4951.3265
0.271,4951.1878
0.272,4951.0484
0.273,4950.9084
0.274,4950.7678
0.275,4950.6266
0.276,4950.4847
0.277,4950.3423
0.278,4950.1994
0.279,4950.0559
0.28,4949.9119
0.281,4949.7674
0.282,4949.6224
0.283,4949.4769
0.284,4949.3309
0.285,4949.1846
0.286,4949.0377
0.287,4948.8905
0.288,4948.7428
0.289,4948.5947
0.29,4948.4463
0.291,4948.2974
0.292,4948.1482
0.293,4947.9987
0.294,4947.8488
0.295,4947.6985
0.296,4947.548
0.297,4947.3971
0.298,4947.2459
0.299,4947.0944
0.3,4946.9427
0.301,4946.7906
0.302,4946.6383
0.303,4946.4857
0.304,4946.3328
0.305,4946.1797
0.306,4946.0264
0.307,4945.8728
0.308,4945.719
0.309,4945.5649
0.31,4945.4107
0.311,4945.2562
0.312,4945.1015
0.313,4944.9467
0.314,4944.7916
0.315,4944.6363
0.316,4944.4809
0.317,4944.3253
0.318,4944.1695
0.319,4944.0135
0.32,4943.8574
0.321,4943.7011
0.322,4943.5446
0.323,4943.388
0.324,4943.2313
0.325,4943.0744
0.326,4942.9174
0.327,4942.7602
0.328,4942.6029
0.329,4942.4455
0.33,4942.2879
0.331,4942.1302
0.332,4941.9724
0.333,4941.8145
0.334,4941.6565
0.335,4941.4984
0.336,4941.3401
0.337,4941.1818
0.338,4941.0233
0.339,4940.8648
0.34,4940.7061
0.341,4940.5474
0.342,4940.3885
0.343,4940.2296
0.344,4940.0706
0.345,4939.9115
0.346,4939.7523
0.347,4939.5931
0.348,4939.4337
0.349,4939.2743
0.35,4939.1148
0.351,4938.9552
0.352,4938.7956
0.353,4938.6359
0.354,4938.4761
0.355,4938.3163
0.356,4938.1564
0.357,4937.9964
0.358,4937.8363
0.359,4937.6762
0.36,4937.5161
0.361,4937.3559
0.362,4937.1956
0.363,4937.0353
0.364,4936.8749
0.365,4936.7145
0.366,4936.554
0.367,4936.3934
0.368,4936.2328
0.369,4936.0722
0.37,4935.9115
0.371,4935.7508
0.372,4935.59
0.373,4935.4292
0.374,4935.2683
0.375,4935.1074
0.376,4934.9465
0.377,4934.7855
0.378,4934.6244
0.379,4934.4634
0.38,4934.3022
0.381,4934.1411
0.382,4933.9799
0.383,4933.8187
0.384,4933.6574
0.385,4933.4961
0.386,4933.3348
0.387,4933.1734
0.388,4933.012
0.389,4932.8506
0.39,4932.6891
0.391,4932.5276
0.392,4932.3661
0.393,4932.2046
0.394,4932.043
0.395,4931.8814
0.396,4931.7197
0.397,4931.558
0.398,4931.3963
0.399,4931.2346
0.4,4931.0729
0.401,4930.9111
0.402,4930.7493
0.403,4930.5874
0.404,4930.4256
0.405,4930.2637
0.406,4930.1018
0.407,4929.9398
0.408,4929.7779
0.409,4929.6159
0.41,4929.4539
0.411,4929.2919
0.412,4929.1298
0.413,4928.9677
0.414,4928.8056
0.415,4928.6435
0.416,4928.4814
0.417,4928.3192
0.418,4928.157
0.419,4927.9948
0.42,4927.8326
0.421,4927.6704
0.422,4927.5081
0.423,4927.3458
0.424,4927.1835
0.425,4927.0212
0.426,4926.8589
0.427,4926.6965
