Time (s),Oxidizer Mass (kg),Fuel Mass (kg)
0,13.337492,2.5091973
0.001,13.334134,2.5087322
0.002,13.330808,2.5082695
0.003,13.327512,2.5078092
0.004,13.324246,2.5073513
0.005,13.321011,2.5068957
0.006,13.317805,2.5064426
0.007,13.314628,2.5059917
0.008,13.311479,2.5055431
0.009,13.308358,2.5050967
0.01,13.305263,2.5046525
0.011,13.302196,2.5042105
0.012,13.299154,2.5037705
0.013,13.296138,2.5033327
0.014,13.293146,2.5028969
0.015,13.290178,2.502463
0.016,13.287234,2.5020311
0.017,13.284313,2.5016012
0.018,13.281415,2.5011731
0.019,13.278538,2.5007468
0.02,13.275683,2.5003223
0.021,13.272848,2.4998996
0.022,13.270034,2.4994785
0.023,13.26724,2.4990592
0.024,13.264464,2.4986415
0.025,13.261708,2.4982254
0.026,13.258969,2.4978108
0.027,13.256249,2.4973977
0.028,13.253545,2.4969862
0.029,13.250859,2.4965761
0.03,13.248188,2.4961674
0.031,13.245534,2.4957601
0.032,13.242895,2.4953541
0.033,13.240271,2.4949494
0.034,13.237661,2.4945461
0.035,13.235066,2.4941439
0.036,13.232484,2.493743
0.037,13.229916,2.4933432
0.038,13.227361,2.4929446
0.039,13.224818,2.4925471
0.04,13.222287,2.4921508
0.041,13.219769,2.4917554
0.042,13.217262,2.4913611
0.043,13.214766,2.4909678
0.044,13.21228,2.4905755
0.045,13.209806,2.4901841
0.046,13.207341,2.4897936
0.047,13.204886,2.489404
0.048,13.202441,2.4890153
0.049,13.200005,2.4886275
0.05,13.197578,2.4882404
0.051,13.19516,2.4878542
0.052,13.19275,2.4874687
0.053,13.190349,2.487084
0.054,13.187955,2.4867
0.055,13.185569,2.4863167
0.056,13.183191,2.4859341
0.057,13.180819,2.4855522
0.058,13.178455,2.4851709
0.059,13.176097,2.4847902
0.06,13.173746,2.4844102
0.061,13.171401,2.4840308
0.062,13.169062,2.4836519
0.063,13.166729,2.4832736
0.064,13.164402,2.4828958
0.065,13.162081,2.4825185
0.066,13.159764,2.4821418
0.067,13.157453,2.4817655
0.068,13.155148,2.4813897
0.069,13.152846,2.4810144
0.07,13.15055,2.4806396
0.071,13.148258,2.4802651
0.072,13.145971,2.4798911
0.073,13.143688,2.4795175
0.074,13.141408,2.4791443
0.075,13.139133,2.4787715
0.076,13.136862,2.4783991
0.077,13.134595,2.478027
0.078,13.132331,2.4776553
0.079,13.13007,2.4772839
0.08,13.127813,2.4769128
0.081,13.12556,2.4765421
0.082,13.123309,2.4761717
