Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-0.00047,-0.09321,-9.32062,0.09321,9.32062,0,0,0,0,0,0,28.61,-80.6,9.79218,91.04908,0,0,0,46599.88038,26999.7313,53.46254,0.10656,NaN,245.24967,NaN,0.01496,1466430.037,21.9744,0,0.55209,-0.00001,0.46883,0.04055,0.0427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,5.08991,15,1013.25,340.3889,0.01,0.00312
0.02,-0.00046,-0.09245,-9.24483,0.09245,9.24483,0,0,0,0,0,0,28.61,-80.6,9.79218,91.01438,0,0,0,46599.61168,26999.4626,53.46234,0.10656,NaN,245.24933,NaN,0.01534,1504258.395,25.506,0,0.54982,-0.00001,0.46656,0.04055,0.0427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,5.22127,15,1013.25,340.3889,0.01,0.00414
0.03,-0.00046,-0.09169,-9.16904,0.09169,9.16904,0,0,0,0,0,0,28.61,-80.6,9.79218,90.98138,0,0,0,46599.34298,26999.1939,53.46214,0.10656,NaN,245.24899,NaN,0.01573,1542087.278,29.0376,0,0.54762,-0.00001,0.46436,0.04056,0.0427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,5.35263,15,1013.25,340.3889,0.01,0.00488
0.04,-0.00045,-0.09093,-9.09325,0.09093,9.09325,0,0,0,0,0,0,28.61,-80.6,9.79218,90.94996,0,0,0,46599.07429,26998.9252,53.46194,0.10656,NaN,245.24865,NaN,0.01611,1579916.647,32.5692,0,0.54548,-0.00001,0.46222,0.04056,0.0427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,5.48399,15,1013.25,340.3889,0.01,0.0057
0.05,-0.00045,-0.09017,-9.01746,0.09017,9.01746,0,0,0,0,0,0,28.61,-80.6,9.79218,90.92001,0,0,0,46598.80559,26998.65651,53.46174,0.10656,NaN,245.24831,NaN,0.0165,1617746.469,36.1008,0,0.54342,-0.00001,0.46015,0.04056,0.0427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,5.61534,15,1013.25,340.3889,0.01,0.00692
0.06,-0.00045,-0.08942,-8.94167,0.08942,8.94167,0,0,0,0,0,0,28.61,-80.6,9.79218,90.92322,0,0,0,46598.53689,26998.38781,53.46154,0.10656,NaN,245.24797,NaN,0.0163,1598577.717,39.6324,0,0.54446,-0.00001,0.46119,0.04056,0.0427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,5.5488,15,1013.25,340.3889,0.01,0.0081
0.07,-0.00044,-0.08866,-8.86588,0.08866,8.86588,0,0,0,0,0,0,28.61,-80.6,9.79218,90.9265,0,0,0,46598.26819,26998.11911,53.46133,0.10656,NaN,245.24763,NaN,0.01611,1579408.969,43.164,0,0.54551,-0.00001,0.46225,0.04056,0.0427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,5.48226,15,1013.25,340.3889,0.01,0.00926
0.08,-0.00044,-0.0879,-8.79008,0.0879,8.79008,0,0,0,0,0,0,28.61,-80.6,9.79218,90.92987,0,0,0,46597.99949,26997.85041,53.46113,0.10656,NaN,245.24729,NaN,0.01591,1560240.227,46.6956,0,0.54658,-0.00001,0.46332,0.04056,0.0427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,5.41572,15,1013.25,340.3889,0.01,0.01062
0.09,-0.00044,-0.08714,-8.71429,0.08714,8.71429,0,0,0,0,0,0,28.61,-80.6,9.79218,90.93332,0,0,0,46597.73079,26997.58171,53.46093,0.10656,NaN,245.24695,NaN,0.01572,1541071.49,50.2272,0,0.54767,-0.00001,0.46442,0.04056,0.0427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,5.34918,15,1013.25,340.3889,0.01,0.01189
0.1,-0.00043,-0.08638,-8.63849,0.08638,8.63849,0,0,0,0,0,0,28.61,-80.6,9.79218,90.93685,0,0,0,46597.46209,26997.31301,53.46073,0.10656,NaN,245.24661,NaN,0.01552,1521902.759,53.7588,0,0.54878,-0.00001,0.46552,0.04056,0.0427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,5.28264,15,1013.25,340.3889,0.01,0.01328
