Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-0.00047,-0.09321,-9.32062,0.09321,9.32062,0,0,0,0,0,0,28.61,-80.6,9.79218,180,0,0,0,46599.88038,26999.7313,53.46254,0.10656,NaN,245.24967,NaN,0.00027,26848.688,21.9744,-0.00013,1.31185,-1.31185,1.22862,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,0,15,1013.25,340.3889,0.01,0.00317
0.02,-0.00046,-0.09245,-9.24483,0.09245,9.24483,0,0,0,0,0,0,28.61,-80.6,9.79218,180,0,0,0,46599.61168,26999.4626,53.46234,0.10656,NaN,245.24933,NaN,0.00027,26630.37399,25.506,-0.00013,1.31496,-1.31496,1.23173,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,0,15,1013.25,340.3889,0.01,0.00426
0.03,-0.00046,-0.09169,-9.16904,0.09169,9.16904,0,0,0,0,0,0,28.61,-80.6,9.79218,180,0,0,0,46599.34298,26999.1939,53.46214,0.10656,NaN,245.24899,NaN,0.00027,26412.05747,29.0376,-0.00012,1.31811,-1.31811,1.23488,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,0,15,1013.25,340.3889,0.01,0.00513
0.04,-0.00045,-0.09093,-9.09325,0.09093,9.09325,0,0,0,0,0,0,28.61,-80.6,9.79218,180,0,0,0,46599.07429,26998.9252,53.46194,0.10656,NaN,245.24865,NaN,0.00027,26193.73842,32.5692,-0.00012,1.3213,-1.3213,1.23806,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,0,15,1013.25,340.3889,0.01,0.00597
0.05,-0.00045,-0.09017,-9.01746,0.09017,9.01746,0,0,0,0,0,0,28.61,-80.6,9.79218,180,0,0,0,46598.80559,26998.65651,53.46174,0.10656,NaN,245.24831,NaN,0.00026,25975.41686,36.1008,-0.00012,1.32452,-1.32452,1.24129,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,0,15,1013.25,340.3889,0.01,0.00668
0.06,-0.00045,-0.08942,-8.94167,0.08942,8.94167,0,0,0,0,0,0,28.61,-80.6,9.79218,180,0,0,0,46598.53689,26998.38781,53.46154,0.10656,NaN,245.24797,NaN,0.00026,25757.09278,39.6324,-0.00012,1.32778,-1.32778,1.24455,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,0,15,1013.25,340.3889,0.01,0.00725
0.07,-0.00044,-0.08866,-8.86587,0.08866,8.86587,0,0,0,0,0,0,28.61,-80.6,9.79218,180,0,0,0,46598.26819,26998.11911,53.46133,0.10656,NaN,245.24763,NaN,0.00026,25538.76619,43.164,-0.00012,1.33109,-1.33109,1.24786,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,0,15,1013.25,340.3889,0.01,0.0078
0.08,-0.00044,-0.0879,-8.79008,0.0879,8.79008,0,0,0,0,0,0,28.61,-80.6,9.79218,180,0,0,0,46597.99949,26997.85041,53.46113,0.10656,NaN,245.24729,NaN,0.00026,25320.43707,46.6956,-0.00012,1.33444,-1.33444,1.25121,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,0,15,1013.25,340.3889,0.01,0.00835
0.09,-0.00044,-0.08714,-8.71429,0.08714,8.71429,0,0,0,0,0,0,28.61,-80.6,9.79218,180,0,0,0,46597.73079,26997.58171,53.46093,0.10656,NaN,245.24695,NaN,0.00026,25102.10544,50.2272,-0.00011,1.33783,-1.33783,1.2546,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,0,15,1013.25,340.3889,0.01,0.00901
0.1,-0.00043,-0.08638,-8.63849,0.08638,8.63849,0,0,0,0,0,0,28.61,-80.6,9.79218,180,0,0,0,46597.46209,26997.31301,53.46073,0.10656,NaN,245.24661,NaN,0.00025,24883.77129,53.7588,-0.00011,1.34126,-1.34126,1.25803,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,0,15,1013.25,340.3889,0.01,0.00957
0.11,-0.00039,-0.07872,-7.87179,0.07872,7.87179,0,0,0,0,0,0,28.61,-80.6,9.79218,180,0,0,0,46594.61047,26994.46139,53.45859,0.10656,NaN,245.24301,NaN,0.00023,22675.39333,89.4797,-0.0001,1.37868,-1.37868,1.29544,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,0,15,1013.25,340.3889,0.01,0.01033
0.12,-0.00032,-0.06414,-6.41411,0.06414,6.41411,0,0,0,0,0,0,28.61,-80.6,9.79218,180,0,0,0,46591.75886,26991.60977,53.45645,0.10655,NaN,245.23941,NaN,0.00019,18476.588,157.38991,-0.00007,1.46725,-1.46725,1.38401,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,0,15,1013.25,340.3889,0.01,0.01104
0.13,-0.00025,-0.04956,-4.95626,0.04956,4.95626,0,0,0,0,0,0,28.61,-80.6,9.79218,180,0,0,0,46588.90724,26988.75816,53.45431,0.10655,NaN,245.23581,NaN,0.00015,14277.26863,225.30011,-0.00004,1.5923,-1.5923,1.50907,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00001,15.24,182.41469,90,0,0,15,1013.25,340.3889,0.01,0.01181
0.14,-0.00017,-0.03498,-3.49823,0.03498,3.49823,0,0,0,0,0,0,28.61,-80.6,9.79218,180,0,0,0,46586.05562,26985.90654,53.45217,0.10655,NaN,245.2322,NaN,0.0001,10077.43505,293.21032,-0.00002,1.79009,-1.79009,1.70686,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.24,182.41469,90,0,0,15,1013.25,340.3889,0.01,0.01254
0.15,-0.0001,-0.0204,-2.04002,0.0204,2.04002,0,0,0,0,0,0,28.61,-80.6,9.79218,180,0,0,0,46583.204,26983.05492,53.45003,0.10654,NaN,245.2286,NaN,0.00006,5877.08717,361.12053,-0.00001,1.79306,-1.79306,1.70982,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.24,182.41469,90,0,0,15,1013.25,340.3889,0.01,0.01309
0.16,-0.00003,-0.00582,-0.58163,0.00582,0.58163,0,0,0,0,0,0,28.61,-80.6,9.79218,0,0,0,0,46580.35238,26980.2033,53.44789,0.10654,NaN,245.225,NaN,0.00002,1676.2249,429.03073,0,1.79306,1.79306,1.70982,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.24,182.41469,90,0,0,15,1013.25,340.3889,0.01,0.01388
0.17,0.00004,0.00877,0.87694,0.00877,0.87694,0,0,0,0,0,0,28.61,-80.6,9.79218,0,0,0,0,46577.50076,26977.35168,53.44575,0.10654,NaN,245.22139,NaN,0.00003,2525.15184,496.94094,0,1.79306,1.79306,1.70982,0.04054,0.04269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.24,182.41469,90,0,0,15,1013.24999,340.3889,0.01,0.01475
