mach,cd,,
0.00E+00,5.03E-01,,
3.00E-02,4.73E-01,,
6.00E-02,4.42E-01,,
9.00E-02,4.24E-01,,
1.20E-01,4.11E-01,,
1.50E-01,4.02E-01,,
1.80E-01,3.94E-01,,
2.10E-01,3.88E-01,,
2.40E-01,3.82E-01,,
2.70E-01,3.77E-01,,
3.00E-01,3.73E-01,,
3.30E-01,3.69E-01,,
3.60E-01,3.66E-01,,
3.90E-01,3.64E-01,,
4.20E-01,3.63E-01,,
4.50E-01,3.63E-01,,
4.80E-01,3.62E-01,,
5.10E-01,3.62E-01,,
5.40E-01,3.61E-01,,
5.70E-01,3.60E-01,,
6.00E-01,3.60E-01,,
6.30E-01,3.59E-01,,
6.60E-01,3.57E-01,,
6.90E-01,3.56E-01,,
7.20E-01,3.55E-01,,
7.50E-01,3.53E-01,,
7.80E-01,3.52E-01,,
8.10E-01,3.51E-01,,
8.40E-01,3.49E-01,,
8.70E-01,3.49E-01,,
9.00E-01,3.51E-01,,
9.30E-01,3.58E-01,,
9.60E-01,3.69E-01,,
9.90E-01,3.85E-01,,
1.02E+00,4.99E-01,,
1.05E+00,6.54E-01,,
1.08E+00,6.18E-01,,
1.11E+00,5.96E-01,,
1.14E+00,5.82E-01,,
1.17E+00,5.71E-01,,
1.20E+00,5.63E-01,,
1.23E+00,5.59E-01,,
1.26E+00,5.55E-01,,
1.29E+00,5.52E-01,,
1.32E+00,5.50E-01,,
1.35E+00,5.42E-01,,
1.38E+00,5.36E-01,,
1.41E+00,5.29E-01,,
1.44E+00,5.22E-01,,
1.47E+00,5.16E-01,,
1.50E+00,5.10E-01,,
1.53E+00,5.04E-01,,
1.56E+00,4.98E-01,,
1.59E+00,4.93E-01,,
1.62E+00,4.87E-01,,
1.65E+00,4.82E-01,,
1.68E+00,4.77E-01,,
1.71E+00,4.71E-01,,
1.74E+00,4.66E-01,,
1.77E+00,4.61E-01,,
1.80E+00,4.57E-01,,
1.83E+00,4.52E-01,,
1.86E+00,4.47E-01,,
1.89E+00,4.43E-01,,
1.92E+00,4.38E-01,,
1.95E+00,4.34E-01,,
1.98E+00,4.29E-01,,
2.01E+00,4.25E-01,,
2.04E+00,4.21E-01,,
2.07E+00,4.17E-01,,
2.10E+00,4.13E-01,,
2.13E+00,4.09E-01,,
2.16E+00,4.05E-01,,
2.19E+00,4.01E-01,,
2.22E+00,3.98E-01,,
2.25E+00,3.94E-01,,
2.28E+00,3.90E-01,,
2.31E+00,3.87E-01,,
2.34E+00,3.83E-01,,
2.37E+00,3.80E-01,,
2.40E+00,3.76E-01,,
2.43E+00,3.73E-01,,
2.46E+00,3.70E-01,,
2.49E+00,3.67E-01,,
2.52E+00,3.63E-01,,
2.55E+00,3.60E-01,,
2.58E+00,3.57E-01,,
2.61E+00,3.54E-01,,
2.64E+00,3.51E-01,,
2.67E+00,3.48E-01,,
2.70E+00,3.45E-01,,
2.73E+00,3.42E-01,,
2.76E+00,3.39E-01,,
2.79E+00,3.36E-01,,
2.82E+00,3.33E-01,,
2.85E+00,3.30E-01,,
2.88E+00,3.28E-01,,
2.91E+00,3.25E-01,,
2.94E+00,3.22E-01,,
2.97E+00,3.19E-01,,
3.00E+00,3.17E-01,,
